risk,rat_present,season,hours_after_sunset,month,bat_landing_to_food
0,1,1,6.066111111,4,2.0
1,1,1,6.087222222,4,19.0
0,1,1,6.11,4,3.0
0,1,1,6.159166667,4,6.0
0,1,1,6.185833333,4,1.0
1,1,1,6.205,4,9.0
1,1,1,6.213055556,4,23.0
0,1,1,6.24,4,1.0
0,1,1,6.249166667,4,155.0
0,1,1,2.358611111,4,3.0
0,1,1,2.438055556,4,3.0
0,1,1,2.459166667,4,2.0
0,1,1,4.395833333,4,2.0
1,1,1,4.401111111,4,9.0
0,1,1,4.408611111,4,4.0
1,1,1,4.444444444,4,5.0
1,1,1,4.447222222,4,4.0
0,1,1,4.454722222,4,1.0
1,1,1,4.479166667,4,48.0
0,1,1,4.479166667,4,3.0
1,1,1,4.504166667,4,0.010238211
0,1,1,4.558333333,4,2.0
1,1,1,4.656111111,4,2.0
1,1,1,5.788055556,4,3.0
0,1,1,5.791666667,4,4.0
1,1,1,5.801111111,4,22.0
0,1,1,5.802222222,4,2.0
0,1,1,5.811666667,4,2.0
0,1,1,5.815833333,4,2.0
1,1,1,5.830555556,4,59.0
0,1,1,5.845,4,4.0
1,1,1,5.883888889,4,1.0
1,1,1,5.900833333,4,14.0
0,1,1,5.958055556,4,1.0
0,1,1,5.960277778,4,0.04722604
0,1,1,5.965555556,4,0.022571773
1,1,1,2.135,4,68.0
1,1,1,2.135833333,4,6.0
1,1,1,2.137777778,4,2.0
1,1,1,2.142222222,4,8.0
1,1,1,2.148055556,4,5.0
1,1,1,2.150833333,4,2.0
1,1,1,2.154166667,4,15.0
1,1,1,2.157777778,4,4.0
1,1,1,3.148055556,4,15.0
1,1,1,3.152777778,4,18.0
0,1,1,3.161666667,4,3.0
1,1,1,3.166111111,4,13.0
1,1,1,3.166111111,4,14.0
1,1,1,3.169166667,4,10.0
0,1,1,3.178055556,4,1.0
1,1,1,3.178611111,4,7.0
0,1,1,3.199722222,4,3.0
0,1,1,3.203333333,4,1.0
1,1,1,3.219722222,4,23.0
0,1,1,3.228611111,4,0.078814418
0,1,1,3.23,4,1.0
0,1,1,3.231944444,4,4.0
1,1,1,3.233055556,4,5.0
0,1,1,3.234166667,4,3.0
0,1,1,3.238055556,4,2.0
1,1,1,3.238888889,4,55.0
0,1,1,3.2525,4,3.0
0,1,1,3.256388889,4,3.0
0,1,1,3.268333333,4,1.0
1,1,1,3.287777778,4,65.0
1,1,1,3.298055556,4,275.0
1,1,1,3.308611111,4,2.0
1,1,1,3.310833333,4,2.0
1,1,1,3.313888889,4,1.0
1,1,1,3.32,4,18.0
0,1,1,3.805,4,0.028315379
1,1,1,3.809166667,4,6.0
1,1,1,3.811666667,4,9.0
0,1,1,3.823055556,4,2.0
0,1,1,3.825555556,4,8.0
0,1,1,3.829444444,4,6.0
0,1,1,3.874722222,4,6.0
0,1,1,3.8775,4,0.039556377
1,1,1,5.126111111,4,7.0
0,1,1,5.141388889,4,4.0
1,1,1,5.143333333,4,0.02018894
1,1,1,5.148611111,4,47.0
1,1,1,5.159166667,4,35.0
1,1,1,5.161666667,4,13.0
1,1,1,5.168888889,4,12.0
1,1,1,5.174166667,4,20.0
1,1,1,5.175277778,4,9.0
1,1,1,5.178611111,4,21.0
1,1,1,5.186111111,4,1.0
0,1,1,5.1875,4,6.0
1,1,1,6.04,4,15.0
1,1,1,6.0425,4,3.0
0,1,1,6.051944444,4,8.0
0,1,1,6.053888889,4,10.0
0,1,1,6.058333333,4,15.0
1,1,1,6.080833333,4,26.0
0,1,1,6.083055556,4,2.0
1,1,1,6.899722222,4,0.050962883
0,1,1,6.910833333,4,5.0
0,1,1,6.936666667,4,3.0
0,1,1,6.966111111,4,13.0
1,1,1,6.986111111,4,3.0
1,1,1,6.999444444,4,0.09619989
1,1,1,7.0,4,0.063771569
